Flash Attention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M=4Kib,,,,,,,,,,,,,,,,,,,,,Optimal M,,,,,,,,,,,,,,,,,,
4096,1.9286,7.7924,31.458,127.67,510.73,2208.6,9917.8,41846,169540,2.249403713,2.257199322,2.253862293,2.173024203,2.182953811,2.289640496,2.292746375,2.214930937,2.228388581,,,,,,,,,,,,,,,,,,,,,
M=256Kib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d\N,16,32,64,128,256,512,1024,2048,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0061,0.0263,0.0864,0.4065,1.3989,5.9422,36.039,145.2,581.94,0.9016393443,0.8517110266,1.041666667,0.8184501845,0.995353492,1.034684124,0.6574266767,0.6517906336,0.6504106953,,,,,,,,,,,,,,,,,,,,,
32,0.0104,0.0402,0.141,0.6163,2.7413,17.046,68.115,271.09,1093.4,1,1.019900498,1.05106383,0.985558981,0.9883631854,0.6357503227,0.6445569992,0.6459847283,0.6442564478,,,,,,,,,,,,,,,,,,,,,
64,0.0214,0.0692,0.2711,1.2457,7.2717,29.231,116.64,470.55,1872.2,0.9018691589,1.098265896,1.026558466,1.219314442,0.7250574144,0.6998734221,0.6887002743,0.6848793965,0.6891891892,,,,,,,,,,,,,,,,,,,,,
128,0.0401,0.1409,0.6001,4.0828,17.034,66.305,264.47,1047.1,4298,1.014962594,0.9858055358,0.9475087485,0.5761487215,0.5514676529,0.5655531257,0.5695920142,0.5836882819,0.5640065147,,,,,,,,,,,,,,,,,,,,,
256,0.085,0.2862,1.7289,6.9516,27.498,109.69,438.11,1766.4,6742.3,0.8035294118,0.9748427673,0.6538839725,0.6497928534,0.6616117536,0.6674446166,0.6721371345,0.6668931159,0.6908028418,,,,,,,,,,,,,,,,,,,,,
512,0.1428,0.9096,3.6711,14.741,59.251,237.16,956.13,3832.9,15198,0.9411764706,0.5881706245,0.5974775953,0.5874364019,0.5958549223,0.601281835,0.6027841402,0.6033551619,0.6073825503,,,,,,,,,,,,,,,,,,,,,
1024,0.4231,1.7029,7.0169,27.777,111.22,448.12,1805.2,7304.4,29006,0.6832900024,0.6696224088,0.7822685231,0.6669906757,0.6652130912,0.6606935642,0.6695103036,0.6728957888,0.7028545818,,,,,,,,,,,,,,,,,,,,,
2048,0.5893,2.3292,9.5503,38.398,155.46,633.48,2656.3,10859,42073,1.064822671,1.08423493,1.071589374,1.124199177,1.077833526,1.050340974,1.112412002,1.168984253,1.139495639,,,,,,,,,,,,,,,,,,,,,
4096,1.3367,5.3167,21.333,87.352,350.24,1551.5,6321.1,25665,98263,1.442806913,1.465645983,1.474616791,1.461557835,1.458228643,1.42352562,1.568999067,1.630469511,1.725369671,,,,,,,,,,,,,,,,,,,,,
M=512Kib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d\N,16,32,64,128,256,512,1024,2048,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0055,0.0214,0.0813,0.3356,1.3837,5.9971,36.092,145.57,585.38,1.109090909,1.228971963,1.062730627,1.211263409,1.01098504,0.9908455754,0.9985315305,0.9974582675,0.9941234753,,,,,,,,,,,,,,,,,,,,,
32,0.0105,0.0452,0.1516,0.6168,2.7429,16.898,96.28,386.87,1544.9,0.9904761905,0.889380531,0.9300791557,0.9991893645,0.9994166758,1.008758433,0.7074678022,0.7007263422,0.7077480743,,,,,,,,,,,,,,,,,,,,,
64,0.0193,0.077,0.2789,1.2502,7.1703,35.662,142.69,562.76,2245.8,1.10880829,0.8987012987,0.9720329867,0.9964005759,1.014141668,0.8196679939,0.8174364006,0.8361468477,0.8336450263,,,,,,,,,,,,,,,,,,,,,
128,0.0428,0.1542,0.6027,4.1667,16.922,68.172,272.56,1100.6,4398.7,0.9369158879,0.9137483787,0.9956860793,0.9798641611,1.006618603,0.9726133897,0.970318462,0.9513901508,0.9771068725,,,,,,,,,,,,,,,,,,,,,
256,0.074,0.2894,1.6902,8.666,34.435,137.04,561.67,2238.2,8837,1.148648649,0.9889426399,1.022896699,0.8021693976,0.798547989,0.8004232341,0.780013175,0.7892056117,0.7629625438,,,,,,,,,,,,,,,,,,,,,
512,0.1662,0.9161,4.6191,18.384,73.075,290.32,1159.5,4642.9,18633,0.8592057762,0.9929047047,0.794765214,0.8018385553,0.8108244954,0.8168917057,0.8246054334,0.8255400719,0.8156496538,,,,,,,,,,,,,,,,,,,,,
1024,0.4276,2.6747,10.749,43.279,172.31,694.3,2770.5,11086,44493,0.9894761459,0.636669533,0.6527956089,0.6418124263,0.6454645697,0.6454270488,0.6515791373,0.6588850803,0.6519227744,,,,,,,,,,,,,,,,,,,,,
2048,0.874,3.5366,14.714,56.539,228.76,910.81,3671.1,15432,57993,0.6742562929,0.6585986541,0.6490621177,0.6791418313,0.6795768491,0.6955127853,0.7235705919,0.7036677035,0.7254841102,,,,,,,,,,,,,,,,,,,,,
4096,1.2223,4.7049,19.212,77.598,319.57,1331.1,5418.7,20895,84157,1.093594044,1.130034645,1.11039975,1.125699116,1.095972713,1.165577342,1.166534409,1.228284279,1.16761529,,,,,,,,,,,,,,,,,,,,,
M=1024Kib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d\N,16,32,64,128,256,512,1024,2048,4096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0055,0.0241,0.0869,0.3416,1.4228,6.0707,36.482,146.65,630.44,1,0.887966805,0.9355581128,0.9824355972,0.9725189767,0.9878761922,0.9893097966,0.9926355268,0.9285261087,,,,,,,,,,,,,,,,,,,,,
32,0.0111,0.0415,0.1471,0.6238,2.7519,16.837,96.627,390.85,1558.7,0.9459459459,1.089156627,1.030591434,0.9887784546,0.9967295323,1.003622973,0.9964088712,0.9898170654,0.9911464682,,,,,,,,,,,,,,,,,,,,,
64,0.0209,0.0825,0.2795,1.2535,7.1,34.947,211.14,831.74,3300.7,0.9234449761,0.9333333333,0.9978533095,0.9973673714,1.009901408,1.020459553,0.6758075211,0.67660567,0.680401127,,,,,,,,,,,,,,,,,,,,,
128,0.0366,0.1304,0.577,4.0348,16.926,74.89,304.86,1202.8,4778.2,1.169398907,1.182515337,1.044540728,1.032690592,0.9997636772,0.9102950995,0.8940497277,0.9150315929,0.9205767862,,,,,,,,,,,,,,,,,,,,,
256,0.0724,0.2766,1.6385,8.5403,34.761,139.7,560.03,2228.7,8982.1,1.022099448,1.046276211,1.03155325,1.014718453,0.9906216737,0.9809591983,1.002928415,1.004262575,0.9838456486,,,,,,,,,,,,,,,,,,,,,
